,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,league,es,ds,ts,ms,ms_prob,match
87,0.0,50.0,74.2,84.0,91.0,86.33,-16.8,-2.33,165.2,170.33,35.2,38.83,44.4,44.0,-9.2,-5.17,13,80.59953,90.50856,166.40663,2,0.8856406211853027,Hermes
88,50.0,40.0,77.5,78.8,80.0,85.6,-2.5,-6.8,157.5,164.4,36.17,37.8,39.83,41.2,-3.67,-3.4,13,82.958984,79.3891,165.088,1,0.5301473736763,Zabok
89,40.0,28.57,91.4,85.43,81.6,89.71,9.8,-4.29,173.0,175.14,44.6,44.86,41.6,46.0,3.0,-1.14,13,95.28779,85.929825,182.69287,1,0.5609256029129028,Dynamic
90,71.43,20.0,89.57,76.6,83.86,83.4,5.71,-6.8,173.43,160.0,46.29,36.0,41.14,40.6,5.14,-4.6,13,90.365944,79.5732,170.54234,1,0.8207802176475525,KKK Radnicki
91,33.33,20.0,78.67,68.6,77.33,80.4,1.33,-11.8,156.0,149.0,39.67,35.8,35.0,39.4,4.67,-3.6,13,81.23786,72.53922,155.35501,1,0.6509817838668823,Zlatorog Lasko
92,100.0,0.0,86.4,64.0,74.0,72.67,12.4,-8.67,160.4,136.67,40.0,31.67,37.8,41.0,2.2,-9.33,13,80.485916,67.92913,145.87234,1,0.9729622006416321,KK Sencur
93,60.0,25.0,74.4,81.75,68.0,88.25,6.4,-6.5,142.4,170.0,40.4,43.0,31.6,41.5,8.8,1.5,13,83.105865,76.06589,162.54376,1,0.7708656191825867,Helios Domzale
94,33.33,0.0,81.67,76.71,86.0,93.57,-4.33,-16.86,167.67,170.29,39.83,37.86,45.17,44.71,-5.33,-6.86,13,93.25734,81.17013,175.87778,1,0.8421909213066101,Turi Svitavy
95,66.67,37.5,86.0,78.38,83.33,84.75,2.67,-6.38,169.33,163.13,43.5,40.63,46.17,43.25,-2.67,-2.63,13,88.751854,80.74511,172.732,1,0.7708656191825867,Kolin
96,50.0,83.33,83.88,95.33,83.75,81.67,0.13,13.67,167.63,177.0,42.0,49.17,44.5,43.17,-2.5,6.0,13,85.48607,94.032074,179.82823,2,0.7970210909843445,Decin
97,14.29,66.67,84.43,90.33,90.43,83.33,-6.0,7.0,174.86,173.67,43.0,45.17,48.57,43.5,-5.57,1.67,13,86.61333,96.74948,181.15303,2,0.852428138256073,Olomoucko
98,66.67,42.86,87.5,82.0,81.83,83.71,5.67,-1.71,169.33,165.71,43.33,42.71,42.5,41.43,0.83,1.29,13,91.29609,84.22236,177.88327,1,0.6657140254974365,Usti nad Labem
99,83.33,42.86,84.33,84.29,76.67,81.71,7.67,2.57,161.0,166.0,45.0,46.57,40.5,39.43,4.5,7.14,13,86.68632,82.73675,170.92136,1,0.7713472843170166,Brno
100,50.0,60.0,74.75,82.8,72.75,80.0,2.0,2.8,147.5,162.8,37.5,41.2,36.0,41.4,1.5,-0.2,13,78.17841,77.99981,155.03618,2,0.6234375834465027,Oberwart
