,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,homes,aways,hq1,hq2,hq3,hq4,aq1,aq2,aq3,aq4,league
58,50.0,71.43,78.63,79.57,79.75,74.86,-1.13,4.71,158.38,154.43,39.63,40.0,38.13,37.57,1.5,2.43,79,87,15,18,22,24,31,17,18,21,Extraliga
59,42.86,50.0,67.43,81.83,77.14,75.17,-9.71,6.67,144.57,157.0,38.0,39.0,34.86,38.17,3.14,0.83,60,83,17,17,9,17,11,24,21,27,Super League 1
60,42.86,0.0,79.14,74.0,76.86,90.5,2.29,-16.5,156.0,164.5,36.43,45.0,37.57,48.75,-1.14,-3.75,97,67,33,13,24,27,13,21,17,16,Super League 1
61,28.57,0.0,84.29,73.67,89.14,94.5,-4.86,-20.83,173.43,168.17,41.0,35.17,46.71,50.67,-5.71,-15.5,95,78,27,23,23,22,16,21,27,14,Super League 1
62,66.67,0.0,83.0,71.0,82.5,81.5,0.5,-10.5,165.5,152.5,39.5,33.75,42.0,36.25,-2.5,-2.5,79,70,26,12,11,30,13,19,15,23,Super League 1
63,100.0,50.0,84.6,73.5,66.2,81.17,18.4,-7.67,150.8,154.67,40.2,37.0,30.2,35.5,10.0,1.5,88,63,18,24,21,25,16,13,14,20,Super League 1
64,85.71,57.14,100.0,83.0,81.57,74.0,18.43,9.0,181.57,157.0,49.86,43.29,41.86,39.86,8.0,3.43,106,93,41,19,26,20,25,27,22,19,WNBL
65,66.67,100.0,105.67,88.5,62.83,52.33,42.83,36.17,168.5,140.83,57.5,41.83,31.83,25.33,25.67,16.5,73,81,27,20,11,15,24,9,20,28,Premier League
66,33.33,100.0,66.33,71.75,63.0,63.75,3.33,8.0,129.33,135.5,31.0,31.5,27.0,30.75,4.0,0.75,69,71,15,15,22,17,12,16,19,24,Paulista Women
67,50.0,58.33,76.1,79.25,74.2,75.25,1.9,4.0,150.3,154.5,37.8,41.92,35.6,37.75,2.2,4.17,60,61,14,7,19,20,14,25,10,12,KBL
68,100.0,0.0,81.33,69.6,71.0,84.6,10.33,-15.0,152.33,154.2,40.33,32.6,33.33,39.6,7.0,-7.0,92,73,31,11,26,24,19,18,22,14,LEB Plata
69,0.0,50.0,61.6,63.25,66.4,73.0,-4.8,-9.75,128.0,136.25,32.2,33.0,34.8,34.0,-2.6,-1.0,62,64,13,20,15,14,16,15,15,18,LEB Plata
70,33.33,75.0,45.0,70.63,63.33,61.13,-18.33,9.5,108.33,131.75,22.17,32.63,31.83,33.5,-9.67,-0.88,36,62,10,10,2,14,12,16,18,16,Liga Femenina 2
71,100.0,0.0,79.0,79.0,74.5,85.5,4.5,-6.5,153.5,164.5,40.0,41.0,37.0,41.5,3.0,-0.5,93,87,20,27,19,27,22,23,19,23,Serie A2
72,50.0,66.67,78.0,84.33,81.0,82.0,-3.0,2.33,159.0,166.33,44.5,42.67,38.5,43.67,6.0,-1.0,75,87,20,25,11,19,23,18,13,33,Prva Liga
73,25.0,50.0,79.75,73.83,85.5,80.0,-5.75,-6.17,165.25,153.83,37.88,38.83,39.75,38.17,-1.88,0.67,85,90,14,25,22,24,12,24,19,35,1 Liga
74,0.0,100.0,52.0,74.67,73.0,51.33,-21.0,23.33,125.0,126.0,28.5,42.0,33.5,24.0,-5.0,18.0,54,77,11,16,14,13,15,23,19,20,CN1
75,50.0,66.67,84.5,83.33,76.0,76.0,8.5,7.33,160.5,159.33,41.0,42.67,35.0,42.33,6.0,0.33,80,87,23,19,27,11,17,25,20,25,Proliga
76,33.33,100.0,53.67,87.0,68.33,43.0,-14.67,44.0,122.0,130.0,29.0,46.0,38.0,16.0,-9.0,30.0,46,80,16,9,8,13,18,24,21,17,Nacional I Divisão
77,,,,,,,,,,,,,,,,,44,45,16,6,11,11,13,12,8,12,Taça de Portugal (W)
78,40.0,50.0,75.2,57.75,69.6,67.5,5.6,-9.75,144.8,125.25,38.0,30.75,36.2,34.0,1.8,-3.25,67,72,19,13,25,10,17,19,15,21,Premier League Women
79,50.0,0.0,81.5,69.33,82.0,87.33,-0.5,-18.0,163.5,156.67,45.0,31.0,38.5,40.67,6.5,-9.67,98,68,29,25,24,20,7,24,9,28,Premium League
80,100.0,50.0,94.0,93.0,77.75,87.5,16.25,5.5,171.75,180.5,51.0,45.5,36.0,47.0,15.0,-1.5,110,90,28,30,30,22,22,23,23,22,Premium League
81,85.71,62.5,84.43,81.13,75.0,79.25,9.43,1.88,159.43,160.38,42.0,42.25,35.43,41.0,6.57,1.25,100,65,20,27,27,26,13,21,15,16,Euroleague
